GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOpsProject,devopsproject,DataFrame.PrintingType,0,29,0,0,0,2,0,2,0,2
DevOpsProject,devopsproject,DataFrame.DataComparator,0,42,0,4,0,3,0,4,0,2
DevOpsProject,devopsproject,DataFrame,51,1789,8,126,8,300,8,98,0,38
DevOpsProject,devopsproject,DataFrame.new Function() {...},0,15,0,0,0,2,0,2,0,2
DevOpsProject,devopsproject,DataFrame.new Function() {...},0,20,0,0,0,2,0,2,0,2
